name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
CLEVELAND_CAVALIERS,away,10_27,26,94,17,29,7,39,38,10,9,11,21,95,5,10,0,CHICAGO_BULLS,13,87,23,19,10,40,37,16,7,7,22,97,6,13,50,47
CLEVELAND_CAVALIERS,away,10_28,29,84,17,29,2,42,41,11,13,12,25,106,7,19,1,MEMPHIS_GRIZZLIES,15,82,22,16,3,29,29,16,2,11,18,76,8,16,54,40
CLEVELAND_CAVALIERS,home,10_30,25,86,21,25,4,35,39,18,6,14,19,102,4,11,1,MIAMI_HEAT,21,77,22,21,7,32,33,20,6,6,20,92,5,13,49,38
CLEVELAND_CAVALIERS,away,11_2,28,81,20,22,9,36,42,15,8,7,19,107,5,16,1,PHILADELPHIA_76ERS,22,85,23,24,5,28,38,17,7,9,18,100,7,13,43,37
CLEVELAND_CAVALIERS,home,11_4,21,83,32,27,2,39,33,23,7,9,12,96,5,11,1,NEW_YORK_KNICKS,16,84,15,24,7,31,33,12,8,9,23,86,6,12,48,40
CLEVELAND_CAVALIERS,home,11_6,29,88,12,26,0,34,45,8,10,11,20,108,9,17,1,PHILADELPHIA_76ERS,23,79,15,23,4,31,41,10,10,7,18,102,9,16,45,38
CLEVELAND_CAVALIERS,home,11_8,25,83,25,24,4,37,38,17,8,11,20,101,5,10,1,INDIANA_PACERS,22,90,19,18,4,35,39,13,6,12,20,97,5,7,48,47
CLEVELAND_CAVALIERS,home,11_10,24,74,43,24,6,24,37,33,11,11,21,118,9,16,1,UTAH_JAZZ,30,82,28,22,0,24,40,24,10,13,35,114,11,16,35,37
CLEVELAND_CAVALIERS,away,11_13,12,78,31,28,1,37,33,18,6,12,19,90,6,12,1,NEW_YORK_KNICKS,16,79,21,27,4,36,29,17,9,10,26,84,7,14,49,46
CLEVELAND_CAVALIERS,away,11_14,21,91,27,38,8,40,37,17,14,14,24,105,6,20,0,MILWAUKEE_BUCKS,20,102,22,16,9,36,43,16,6,15,25,108,6,12,54,51
CLEVELAND_CAVALIERS,away,11_17,21,80,20,33,2,37,38,12,11,3,25,99,8,14,0,DETROIT_PISTONS,20,84,31,21,1,37,36,25,7,11,15,104,11,13,40,48
CLEVELAND_CAVALIERS,home,11_19,29,71,30,24,2,30,40,24,11,13,24,115,3,17,1,MILWAUKEE_BUCKS,22,73,26,8,2,16,38,21,3,6,29,100,8,11,43,22
CLEVELAND_CAVALIERS,home,11_21,27,85,19,29,8,40,41,16,11,11,22,109,4,14,1,ATLANTA_HAWKS,22,86,25,28,4,26,32,22,11,12,20,97,10,12,51,38
